"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 01:26:10 GMT 2022","Mon Jul 25 01:26:13 GMT 2022","3153","","Negative Login scenarios in the Business View: Empty email: Invalid email","","Negative Login scenarios in the Business View: Empty email: Invalid email","Should Validate as invalid email","Should Validate as invalid email",""
"passed","Mon Jul 25 01:27:06 GMT 2022","Mon Jul 25 01:27:32 GMT 2022","25409","","Success Login: Existent User","","Success Login: Existent User","Should Redirect to the Main page","Should Redirect to the Main page",""
"passed","Mon Jul 25 01:26:06 GMT 2022","Mon Jul 25 01:26:10 GMT 2022","4206","","Negative Login scenarios in the Business View: Empty email","","Negative Login scenarios in the Business View: Empty email","Should Validate as field required","Should Validate as field required",""
"passed","Mon Jul 25 01:26:41 GMT 2022","Mon Jul 25 01:26:58 GMT 2022","17765","","Success Login: Existent User","","Success Login: Existent User","Should Redirect to the Main page","Should Redirect to the Main page",""
"passed","Mon Jul 25 01:26:16 GMT 2022","Mon Jul 25 01:26:24 GMT 2022","7696","","Negative Login scenarios in the Business View: Empty email","","Negative Login scenarios in the Business View: Empty email","Should Validate as field required","Should Validate as field required",""
"passed","Mon Jul 25 01:26:24 GMT 2022","Mon Jul 25 01:26:30 GMT 2022","5971","","Negative Login scenarios in the Business View: Empty email: Invalid email","","Negative Login scenarios in the Business View: Empty email: Invalid email","Should Validate as invalid email","Should Validate as invalid email",""
"passed","Mon Jul 25 01:26:35 GMT 2022","Mon Jul 25 01:27:06 GMT 2022","31220","","Success Login: New User","","Success Login: New User","Should Redirect to the register page","Should Redirect to the register page",""
"passed","Mon Jul 25 01:26:17 GMT 2022","Mon Jul 25 01:26:41 GMT 2022","23887","","Success Login: New User","","Success Login: New User","Should Redirect to the register page","Should Redirect to the register page",""
