"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 02:07:02 GMT 2022","Mon Jul 25 02:07:10 GMT 2022","7253","","Negative Login scenarios in the Business View: Empty email","","Negative Login scenarios in the Business View: Empty email","Should Validate as field required","Should Validate as field required",""
"broken","Mon Jul 25 02:09:38 GMT 2022","Mon Jul 25 02:13:21 GMT 2022","223816","","Success Login: Existent User","","Success Login: Existent User","Should Redirect to the Main page","Should Redirect to the Main page",""
"passed","Mon Jul 25 02:06:51 GMT 2022","Mon Jul 25 02:06:55 GMT 2022","4059","","Negative Login scenarios in the Business View: Empty email","","Negative Login scenarios in the Business View: Empty email","Should Validate as field required","Should Validate as field required",""
"passed","Mon Jul 25 02:07:10 GMT 2022","Mon Jul 25 02:07:16 GMT 2022","6871","","Negative Login scenarios in the Business View: Empty email: Invalid email","","Negative Login scenarios in the Business View: Empty email: Invalid email","Should Validate as invalid email","Should Validate as invalid email",""
"passed","Mon Jul 25 02:09:07 GMT 2022","Mon Jul 25 02:12:24 GMT 2022","197674","","Success Login: Existent User","","Success Login: Existent User","Should Redirect to the Main page","Should Redirect to the Main page",""
"passed","Mon Jul 25 02:07:01 GMT 2022","Mon Jul 25 02:09:07 GMT 2022","125289","","Success Login: New User","","Success Login: New User","Should Redirect to the register page","Should Redirect to the register page",""
"passed","Mon Jul 25 02:07:21 GMT 2022","Mon Jul 25 02:09:38 GMT 2022","136455","","Success Login: New User","","Success Login: New User","Should Redirect to the register page","Should Redirect to the register page",""
"passed","Mon Jul 25 02:06:55 GMT 2022","Mon Jul 25 02:06:59 GMT 2022","3370","","Negative Login scenarios in the Business View: Empty email: Invalid email","","Negative Login scenarios in the Business View: Empty email: Invalid email","Should Validate as invalid email","Should Validate as invalid email",""
